sample	replicate	cancer_type	ctrl_peak_count	log10_ctrl_peak_count	jq1_peak_count	lost_region_count	percent_lost_vs_ctrl_peaks	predicted_percent_lost_from_baseline	baseline_trend_residual	residual_z_score	percentile_response_group	baseline_group	sensitivity_group	baseline_sensitivity_quadrant	replicate_consistency_label	replicate_range_percent_points	outlier_reasons	outlier_priority_score	interpretation_note
MOLT4	rep1	T-ALL	24548	4.39	24548	0	0.0	69.62	-69.62	-3.69	bottom_quartile_resistant	high_baseline	low	high_baseline_low_sensitivity	single_pair	0.0	extreme_resistant,more_resistant_than_baseline_trend,high_baseline_low_sensitivity	5.689	Potential resistance or retained BRD4 binding despite baseline burden.
ASPS-KY	rep1	Alveolar soft part sarcoma	76030	4.881	67817	21127	27.79	59.87	-32.08	-1.7	bottom_quartile_resistant	high_baseline	low	high_baseline_low_sensitivity	single_pair	0.0	extreme_resistant,more_resistant_than_baseline_trend,high_baseline_low_sensitivity	3.7	Potential resistance or retained BRD4 binding despite baseline burden.
MutuI	rep1	Burkitt's lymphoma	22072	4.3438	1409	21083	95.52	70.54	24.98	1.32	top_quartile_sensitive	high_baseline	high	high_baseline_high_sensitivity	moderate	13.51	extreme_sensitive,more_sensitive_than_baseline_trend	3.324	Potential strong BET/JQ1 vulnerability beyond what baseline peak burden predicts.
OVCAR3	rep1	Ovarian cancer	15517	4.1908	634	15084	97.21	73.57	23.64	1.25	top_quartile_sensitive	low_baseline	high	low_baseline_high_sensitivity	single_pair	0.0	extreme_sensitive,more_sensitive_than_baseline_trend,low_baseline_high_sensitivity	3.253	Potential strong BET/JQ1 vulnerability beyond what baseline peak burden predicts.
MDA-MB-231	rep1	Breast cancer	5575	3.7462	269	5360	96.14	82.4	13.74	0.73	top_quartile_sensitive	low_baseline	high	low_baseline_high_sensitivity	variable	30.43	extreme_sensitive,low_baseline_high_sensitivity,variable_replicates	3.228	Potential strong BET/JQ1 vulnerability beyond what baseline peak burden predicts.
KK1	rep1	Adult T-cell Leukemia/Lymphoma (ATLL)	10400	4.017	278	10229	98.36	77.02	21.34	1.13	top_quartile_sensitive	low_baseline	high	low_baseline_high_sensitivity	single_pair	0.0	extreme_sensitive,more_sensitive_than_baseline_trend,low_baseline_high_sensitivity	3.131	Potential strong BET/JQ1 vulnerability beyond what baseline peak burden predicts.
U87	rep1	Glioblastoma multiome	5991	3.7775	522	5985	99.9	81.78	18.12	0.96	top_quartile_sensitive	low_baseline	high	low_baseline_high_sensitivity	high	0.35	extreme_sensitive,low_baseline_high_sensitivity	2.96	Potential strong BET/JQ1 vulnerability beyond what baseline peak burden predicts.
SUM159	rep1	Breast cancer	5354	3.7287	0	5354	100.0	82.74	17.26	0.91	top_quartile_sensitive	low_baseline	high	low_baseline_high_sensitivity	single_pair	0.0	extreme_sensitive,low_baseline_high_sensitivity	2.915	Potential strong BET/JQ1 vulnerability beyond what baseline peak burden predicts.
GIST-T1	rep1	Gastrointestinal stromal tumor	4869	3.6874	160	4809	98.77	83.56	15.21	0.81	top_quartile_sensitive	low_baseline	high	low_baseline_high_sensitivity	single_pair	0.0	extreme_sensitive,low_baseline_high_sensitivity	2.806	Potential strong BET/JQ1 vulnerability beyond what baseline peak burden predicts.
MDA-MB-231	rep2	Breast cancer	2552	3.4069	3716	1677	65.71	89.13	-23.42	-1.24	middle_half	low_baseline	intermediate	low_baseline_intermediate_sensitivity	variable	30.43	more_resistant_than_baseline_trend,variable_replicates	2.741	Potential resistance or retained BRD4 binding despite baseline burden.
U87	rep2	Glioblastoma multiome	3537	3.5486	326	3521	99.55	86.32	13.23	0.7	top_quartile_sensitive	low_baseline	high	low_baseline_high_sensitivity	high	0.35	extreme_sensitive,low_baseline_high_sensitivity	2.701	Potential strong BET/JQ1 vulnerability beyond what baseline peak burden predicts.
PC3	rep1	Prostate cancer	3782	3.5777	2537	2508	66.31	85.74	-19.43	-1.03	middle_half	low_baseline	intermediate	low_baseline_intermediate_sensitivity	variable	15.26	more_resistant_than_baseline_trend,variable_replicates	2.53	Potential resistance or retained BRD4 binding despite baseline burden.
COLO320-HSR	rep1	Colorectal cancer	15231	4.1827	10856	8361	54.89	73.73	-18.84	-1.0	bottom_quartile_resistant	low_baseline	intermediate	low_baseline_intermediate_sensitivity	variable	16.25	more_resistant_than_baseline_trend,variable_replicates	2.498	Potential resistance or retained BRD4 binding despite baseline burden.
NB4	rep1	Acute promyelocytic leukemia	3381	3.529	2324	2095	61.96	86.71	-24.75	-1.31	middle_half	low_baseline	intermediate	low_baseline_intermediate_sensitivity	single_pair	0.0	more_resistant_than_baseline_trend	2.311	Potential resistance or retained BRD4 binding despite baseline burden.
HCC1806	rep1	Breast cancer	17315	4.2384	12836	8681	50.14	72.63	-22.49	-1.19	bottom_quartile_resistant	low_baseline	intermediate	low_baseline_intermediate_sensitivity	single_pair	0.0	more_resistant_than_baseline_trend	2.192	Potential resistance or retained BRD4 binding despite baseline burden.
SUM149	rep1	Breast cancer	42271	4.626	70214	18202	43.06	64.94	-21.88	-1.16	bottom_quartile_resistant	high_baseline	low	high_baseline_low_sensitivity	single_pair	0.0	more_resistant_than_baseline_trend,high_baseline_low_sensitivity	2.159	Potential resistance or retained BRD4 binding despite baseline burden.
